Date,Campaign_Name,Channel,Region,Product,Impressions,Clicks,Spend,Revenue,Conversions
2024-01-01,Summer Sale,TV,MEA,Product A,172621,2687,7321.14,5080.07,86
2024-01-02,Summer Sale,Email,US,Service Y,159794,4968,2928.1,23740.42,147
2024-01-03,Holiday Push,TV,LATAM,Product C,114974,2416,5479.0,4363.93,200
2024-01-04,Summer Sale,Instagram,APAC,Service Y,77842,1383,4662.98,2528.29,55
2024-01-05,Retargeting Q3,Google Ads,MEA,Product C,74342,3743,10065.66,63758.99,218
2024-01-06,Summer Sale,TV,US,Product C,169794,6948,21435.42,93430.45,430
2024-01-07,Brand Awareness,Facebook,APAC,Product C,25916,1367,4236.95,8817.29,60
2024-01-08,Holiday Push,Email,US,Product B,59921,2607,6792.44,7438.64,186
2024-01-09,Brand Awareness,Display,EMEA,Product B,126178,3655,12677.62,43458.64,247
2024-01-10,Launch 2025,TV,APAC,Product B,13414,674,1148.16,2756.78,10
2024-01-11,Holiday Push,Facebook,MEA,Service Y,176819,6181,19495.18,25141.69,419
2024-01-12,Holiday Push,Email,LATAM,Product A,73876,3498,6244.98,26456.26,218
2024-01-13,Launch 2025,Google Ads,LATAM,Service X,17351,920,881.84,4631.76,22
2024-01-14,Summer Sale,TV,EMEA,Service Y,161208,9641,20124.07,245096.2,939
2024-01-15,Summer Sale,TV,APAC,Service Y,74946,3629,5517.99,8485.51,132
2024-01-16,Launch 2025,Email,US,Product B,51832,1834,1502.47,30935.76,121
2024-01-17,Summer Sale,Email,APAC,Service X,103019,4957,10499.61,66725.62,396
2024-01-18,Holiday Push,Google Ads,US,Service Y,10105,157,249.46,3688.45,15
2024-01-19,Holiday Push,Facebook,LATAM,Service Y,25645,366,716.62,1164.84,5
2024-01-20,Launch 2025,Display,US,Product C,48287,1122,3497.61,4203.09,53
2024-01-21,Summer Sale,Facebook,US,Product A,109593,6549,16042.65,53269.56,323
2024-01-22,Summer Sale,Facebook,EMEA,Product A,93627,1034,2235.26,1430.87,65
2024-01-23,Holiday Push,TV,MEA,Service Y,91619,1240,1505.38,6958.81,87
2024-01-24,Retargeting Q3,Instagram,LATAM,Service X,128907,2855,5478.51,6172.69,133
2024-01-25,Summer Sale,YouTube,APAC,Product A,127427,6778,4490.52,93633.53,466
2024-01-26,Retargeting Q3,Facebook,EMEA,Service X,70183,1374,2897.57,2212.68,31
2024-01-27,Summer Sale,Display,US,Product B,149264,2223,5460.65,3137.19,130
2024-01-28,Retargeting Q3,Google Ads,LATAM,Product C,111539,3823,4362.97,6409.55,176
2024-01-29,Retargeting Q3,Facebook,US,Product C,124277,3015,7808.17,54569.8,228
2024-01-30,Summer Sale,Google Ads,MEA,Service X,62068,3626,8113.32,48869.26,213
2024-01-31,Holiday Push,Google Ads,MEA,Product A,136819,7657,16029.0,18652.08,115
