Campaign_Name,Channel,Region,Product,Impressions,Clicks,Spend,Revenue,Conversions,day,month,year
Summer Sale,Instagram,US,Service X,134476,7323,6609.74,39039.73,405,1,1,2024
Launch 2025,TV,US,Product B,174944,3999,4233.33,73631.56,305,2,1,2024
Summer Sale,YouTube,EMEA,Product B,165158,8721,27829.83,120909.04,736,3,1,2024
Retargeting Q3,Display,APAC,Product C,41860,1417,4686.69,1911.01,15,4,1,2024
Holiday Push,Google Ads,EMEA,Service X,84153,3292,7303.74,13274.2,110,5,1,2024
Brand Awareness,TV,EMEA,Product C,85427,1536,3929.43,38138.98,142,6,1,2024
Launch 2025,Instagram,LATAM,Service Y,101349,4128,4777.69,5660.28,90,7,1,2024
Launch 2025,Display,EMEA,Service Y,128424,6147,17863.09,120860.12,518,8,1,2024
Launch 2025,Email,US,Service Y,122112,4445,7046.9,21132.99,411,9,1,2024
Holiday Push,TV,MEA,Service X,145682,2548,3782.13,7566.8,144,10,1,2024
Retargeting Q3,YouTube,MEA,Product A,28839,1584,2908.93,1309.72,23,11,1,2024
Summer Sale,TV,US,Service Y,151485,5017,14653.38,49205.48,376,12,1,2024
Summer Sale,YouTube,EMEA,Product C,24144,296,453.94,1193.42,4,13,1,2024
Retargeting Q3,Instagram,LATAM,Service X,112182,2131,1931.3,32284.95,144,14,1,2024
Brand Awareness,Google Ads,US,Service Y,103958,2992,7624.19,35568.85,208,15,1,2024
Summer Sale,Instagram,LATAM,Service Y,108037,3937,10565.23,2474.76,118,16,1,2024
Brand Awareness,Facebook,EMEA,Product A,116182,4251,12625.82,16018.69,137,17,1,2024
Holiday Push,Google Ads,EMEA,Service Y,178066,5513,15426.26,12019.75,493,18,1,2024
Summer Sale,YouTube,LATAM,Product B,13801,446,1122.17,3452.5,39,19,1,2024
Brand Awareness,Facebook,MEA,Product C,146494,3056,9446.68,7410.18,46,20,1,2024
Holiday Push,TV,MEA,Product B,156381,6238,15704.76,25287.56,242,21,1,2024
Holiday Push,TV,LATAM,Service Y,113412,2838,1937.99,71906.37,270,22,1,2024
Launch 2025,Instagram,LATAM,Service X,134924,1665,2552.85,14319.73,113,23,1,2024
Holiday Push,Instagram,US,Service X,44116,1102,1158.9,5598.15,64,24,1,2024
Holiday Push,Instagram,US,Product C,20105,766,2606.97,2647.11,46,25,1,2024
Holiday Push,Google Ads,APAC,Service X,174530,2435,4503.19,17847.68,105,26,1,2024
Launch 2025,TV,MEA,Product B,181599,7309,4521.66,29436.26,120,27,1,2024
Holiday Push,Facebook,EMEA,Service X,130670,2671,8603.55,27177.32,99,28,1,2024
Brand Awareness,Display,APAC,Service X,68594,3071,8019.32,12181.77,140,29,1,2024
Retargeting Q3,YouTube,EMEA,Service X,127224,4666,7361.92,25519.83,156,30,1,2024
Holiday Push,TV,US,Product A,88947,4955,7988.03,41536.62,234,31,1,2024
Holiday Push,Instagram,US,Service X,73360,2763,6222.54,21146.69,206,1,2,2024
Brand Awareness,Display,LATAM,Service X,154366,7975,15933.29,116254.62,549,2,2,2024
Retargeting Q3,Facebook,MEA,Product A,125803,2316,6681.49,12857.89,58,3,2,2024
Summer Sale,YouTube,US,Product B,142348,1664,5058.71,32721.86,158,4,2,2024
Launch 2025,TV,MEA,Service X,22817,1034,545.36,7096.28,57,5,2,2024
Launch 2025,TV,APAC,Service Y,177827,6115,3178.8,8487.85,364,6,2,2024
Holiday Push,Google Ads,EMEA,Service Y,80153,870,2557.34,14989.34,61,7,2,2024
